minor_name,minor_reqs
Spanish Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 1 Requirement
Requirement 1.1 — Complete 6 Courses
SPAN 321 - 3rd-Yr Span Read, Gram, & Cult 3.0
SPAN 322 - 3rd-Yr Spanish Composition 3.0
SPAN 326 - Span Phonetics & Pronunciation 3.0
SPAN 330 - Intro to Hispanic Literature 3.0
SPAN 377 - Spanish Teaching Methods 1 3.0
SPAN 378 - Spanish Teaching Methods 2 3.0
Note 1: Because Span 377 is a prerequisite for Span 378, the two courses must be taken sequentially in consecutive semesters. It is recommended that students take these courses during the first and second semesters of their junior year.
Note 2: Span 377 and 378 must be taken before student teaching. Span 377 will be waived for students majoring in another language who have had the course in that language. Students who waive the class will need to take 3 additional elective hours from the 300-, 400-, or 500-level courses in Spanish.
Requirement 2 — Complete 1 of 2 Courses
SPAN 345 - Cultures of Spain 3.0
SPAN 355 - Cultures of Spanish America 3.0
Requirement 3 — Complete 1 of 3 Courses
SPAN 335 - Hispanic Lit for Span Teachers 3.0
SPAN 341 - Survey of Lit of Spain 3.0
SPAN 351 - Survey of Lit of Span America 3.0
Requirement 4 — Complete 1 Course
SPAN 491 - Senior Proficiency Evaluation 0.5
Note 1: An ACTFL Oral Proficiency Interview (OPI) and Writing Proficiency Test are taken in connection with Span 491. Before applying to student teach, students must achieve a minimum OPI rating of Advanced Low to obtain Utah state licensure and to graduate.
Note 2: To qualify for Utah licensure, students must also pass the Praxis Student World Language exam at the state-specified cutoff level prior to student teaching. Contact Education Student Services or check their website for more information.
Requirement 5 — Complete 1 Course
SPAN 478R - Sec Minor Student Teaching - You may take once 4.0"
Statistics (Minor),"Requirement 1 — Complete 1 of 2 Courses
Note: Students who have passed the AP statistics exam or an introductory statistics course should not take Stat 121.
STAT 121 - Intro to Stat Data Analysis 3.0
STAT 201 - Stat for Engineers & Scientist 3.0
Requirement 2 —Complete 1 of 3 Courses
C S 110 - How to Program 3.0
C S 111 - Intro to Computer Science 3.0
STAT 250 - Applied R Programming 3.0
Requirement 3 — Complete 1 Course
STAT 230 - Statistical Modeling 1 3.0
Requirement 4 — Complete 1 of 2 Courses
STAT 220 - Stat Modeling for Data Science 3.0
STAT 330 - Statistical Modeling 2 3.0
Requirement 5 — Complete 6 hours
STAT 234 - Methods of Survey Sampling 3.0
STAT 240 - Probability and Inference 1 3.0
STAT 250 - Applied R Programming 3.0
STAT 251 - Intro to Bayesian Statistics 3.0
STAT 281 - Data Visualization 3.0
STAT 286 - Data Science Ecosystems 3.0
STAT 340 - Probability and Inference 2 3.0
STAT 348 - Predictive Analytics 3.0
STAT 381 - Statistical Computing 3.0
STAT 386 - Data Science Process 3.0
Additional criterion: At least 6 minor hours must not double count for a student's major(s) hours"
Strategy (Minor) *,"Requirement 1 — Complete 3 Courses
Prerequisites:
ACC 200 - Principles of Accounting 3.0
ECON 110 - Econ Principles & Problems 3.0
FIN 201 - Principles of Finance 3.0
Apply and be formally accepted into the program.
Requirement 2 — Complete 5 Courses
STAT 121 - Intro to Stat Data Analysis 3.0
STRAT 401 - Strategy 1 3.0
STRAT 402 - Strategy Analytics 1 3.0
STRAT 411- Strategy 2 3.0
STRAT 421 - Strategy Implementation 3.0"
T E S O L (Minor),"Requirement 1 — Complete 1 Course
Complete the prerequisite course:
ELING 223 - Intro to English Language 3.0
Requirement 2 — Complete 3 Courses
Complete the following foundation courses:
ELING 325 - Grammar of English 3.0
ELING 375 - TESOL Listening, Speaking 3.0
ELING 376 - TESOL Read, Write, Vocab 3.0
Requirement 3 — Complete 2 Courses
Complete the following courses:
ELING 477 - TESOL Course & Lesson Planning 3.0
ELING 478 - TESOL Practicum 3.0"
TESOL K-12 (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
The TESOL K-12 minor is highly recommended for elementary education, early childhood education, special education mild/moderate, and secondary education majors. Students in these majors will meet some of the course requirements within their major program. Please contact the Education Advisement Center, 350 MCKB, (801) 422-3426 with any questions.
Students accepted into the major after May 2020 must (a) maintain an overall GPA of no less than 2.7 since admission to a teacher preparation major and/or minor program, (b) receive a C grade or better in all education-related and major and minor course (including any courses taken prior to acceptance into a teaching major or minor) and (c) demonstrate sufficient and timely progress in coursework and field experiences. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 1 of 3 Courses
CPSE 480 - Ed & Multicult Issues in Sp Ed 2.0
EL ED 203 - Fndtns of Multicultural Educ 2.0
SC ED 353 - Multicultural Educ 2.0
Requirement 2 — Complete 1 Course
TELL 410 - Second Lang. Lrng & Tchg 3.0
Requirement 3 — Complete 1 Option
Option 3.1 — Complete 1 Course
CPSE 420 - Assess/Eval Stdnts w/Excp Nds 3.0
ECE 336 - Planning & Assessment in ECE 3.0
TELL 420 - Assess'g Ling Diverse Students 2.0
Option 3.2 — Complete 2 Courses
EL ED 310 - Planning & Assessment 1 2.0
EL ED 410 - Planning & Assessment 2 1.0
Requirement 4 — Complete 1 of 4 Courses
CPSE 430 - Tching Read/LA Disabilities Se 3.0
ECE 433 - Tchng Literacy Pre K-3 3.0
EL ED 333 - Tchg Literacy in Grades K-2 3.0
TELL 430 - K-12 Liter. 2nd Lang. Learners 2.0
Requirement 5 — Complete 1 Course
TELL 440 - Content-Based Lang. Instr. 2.0
Requirement 6 — Complete 1 of 2 Courses
CPSE 460 - Collaboration 3.0
TELL 450 - Family,Sch,& Comm Partnerships 2.0
Requirement 7 — Complete 4 hours
Complete four credit hours of the following after all the courses above have been completed:
TELL 442R - TESOL K-12 Practicum - You may take once 4.0"
Theatre Arts Studies (Minor),"Theatre Arts Studies is an open enrollment program
Requirement 1 — Complete 2 Requirements
Requirement 1.1 — Complete 5 Courses
Note: TMA 115 may fulfill part of university core requirements.
TMA 111 - Performance Matters 1.0
TMA 115 - Intro to Performance Studies 3.0
TMA 140 - Script Analysis 2.0
TMA 240 - Playmaking 3.0
TMA 395 - Dramatic Literature 1 3.0
Requirement 1.2 — Complete 1 hour
TMA 260R - Theatre Production - You may take once 1.0v
Requirement 2 — Complete 9 hours
Electives (consult with your advisor):
TMA 123 - Acting Fundamentals 2.0
TMA 127 - Beginning Stage Combat 1.0
TMA 220R - Workshop 1: Acting - You may take once 0.5v
TMA 251 - Playwriting 1 3.0
TMA 252 - Puppetry 2.0
TMA 256 - Stage Management 1 2.0
TMA 257 - Storytelling 2.0
TMA 259 - Princ of Design for Stg 3.0
TMA 260R - Theatre Production - You may take once 1.0v
TMA 266 - Principles of Stage Craft 2.0
TMA 267 - Principles of Makeup 2.0
TMA 301 - Contemp Performance Practices 2.0
TMA 302 - British Theatre Performance 3.0
TMA 321 - Voice Over 2.0
TMA 336 - Stage Directing 1: Princ&Prac 3.0
TMA 351 - Playwriting 2 3.0
TMA 352 - Drama in the Elem Classroom 2.0
TMA 362 - Costume Design 3.0
TMA 363 - Scenic Design 3.0
TMA 364 - Lighting Design 3.0
TMA 365 - Sound Design 3.0
TMA 367 - Makeup Design 3.0
TMA 369R - Design & Tech: Asst Stage Mgrs - You may take once 1.0v
TMA 369R - Design Practicum - You may take once 0.5v
TMA 377C - Methods Applied Theatre 3.0
TMA 380 - Production Dramaturgy 3.0
TMA 420R - Performance Workshop 2 - You may take once 0.5v
TMA 443R - WDA Workshop - You may take once 3.0
TMA 451R - Playwriting 3 - You may take once 3.0
TMA 489R - Production Leads - You may take once 0.5v"
Theoretical and Applied Ethics (Minor),"Requirement 1 — Complete 1 Course
PHIL 213 - Introduction to Ethics 3.0
Requirement 2 — Complete 4 of 10 Courses
From the following, complete 4 courses in ethics, social and political philosophy, or history of philosophy with an emphasis on ethics:
PHIL 212R - Intro to Applied Ethics - You may take once 3.0
PHIL 217R - Contemp Political Philosophy - You may take once 3.0
PHIL 313R - History of Ethics - You may take once 3.0
PHIL 320R - Studies in Ancient Philosophy - You may take once 3.0
PHIL 330R - Studies in Medieval Philosophy - You may take once 3.0
PHIL 340R - Studies in Modern Philosophy - You may take once 3.0
PHIL 350R - Studies in Contemporary Phil - You may take once 3.0
PHIL 413R - Topics in Ethics - You may take once 3.0
POLI 362 - Reason, Revelation, & Politics 3.0
POLI 367 - Contemporary Political Theory 3.0
Note 1: No more than six credit hours may double-count for both the Philosophy major and the Theoretical and Applied Ethics minor.
Note 2: One approved 2 or 3 credit course in ethics from another department may substitute for any single course listed in the electives list above. (The Philosophy Department maintains a list of ethics courses offered by other BYU departments.)"
Tourism Studies (Minor),"Requirement 1 — Complete 3 Courses
GEOG 120 - Geography & World Affairs 3.0
GEOG 347 - Geography of Tourism 3.0
GEOG 348 - TIntl Perspectives on Tourism 3.0
Requirement 2 — Complete 2 of 6 Courses
EXDM 300 - Creating a Good Life 3.0
GEOG 349 - Global Adventure Travel 3.0
GEOG 350 - Sust Tourism Planning & Devel 3.0
GEOG 353 - Heritage & Cultural Tourism 3.0
HIST 369 - History of Travel & Tourism 3.0
MKTG 201 - Marketing Management 3.0
Requirement 3 — Complete 1 of 9 Courses
Regional courses:
GEOG 245 - Geography of Utah 3.0
GEOG 250 - US and Canada 3.0
GEOG 255 - Middle & South America 3.0
GEOG 260 - Europe 3.0
GEOG 265 - Russia & Former Soviet Union 3.0
GEOG 271 - Middle East 3.0
GEOG 272 - East Asia 3.0
GEOG 280 - The Pacific Islands 3.0
GEOG 285 - Africa South of the Sahara 3.0"
Translation and Localization (Minor),"Requirement 1 — Complete 1 Course
PLANG 270 - Intro to the Language industry 1.0
Requirement 2 — Complete 1 of 4 Courses
FREN 414 - French Translation 3.0
PLANG 414 - Intro to Translation 3.0
PORT 360 - Intro to Translation 3.0
SPAN 360 - Intro to Translation 3.0
Requirement 3 — Complete 1 Course
PLANG 380 - Computer-Assisted Translation 3.0
Requirement 4 — Complete 1 of 2 Courses
PLANG 460 - Software Localization 3.0
PLANG 470 - Web Localization 3.0
Requirement 5 — Complete 1 of 4 Courses
NOTE: Course taken in Requirement 4 cannot double count for Requirement 5
PLANG 460 - Software Localization 3.0
PLANG 470 - Web Localization 3.0
PLANG 480 - Adv Compu-Assistd Translation 3.0
PLANG 540 - Prof Lang: Project Mgmt 3.0
Requirement 6 — Complete 1 Course
PLANG 399R - Translation Localizatn Intern - You may take once 0.5v"
Urban & Regional Planning (Minor),"Requirement 1 — Complete 4 Courses
Core courses:
GEOG 210 - Intro to City Planning 3.0
GEOG 336 - Geog Urban Environ 3.0
GEOG 410 - Urban Planning Methods 3.0
GEOG 421 - Urban Planning Law 2.0v
Requirement 2 — Complete 2 of 4 Courses
Planning elective courses:
GEOG 306 - Public Lands: Planning & Mgmt 3.0
GEOG 422 - Urban Design 2.0
GEOG 424 - Urban Transportation Planning 3.0
GEOG 510 - Professional Planning Studio 3.0"
